address,bed_num,name,phone,post_code
,,,,
,,,,
武汉市武珞路627号,,广州军区武汉总医院,027-68878888,430070
,,,,
,,,,
武汉市汉南区汉南农场,,汉南区汉南农场职工医院,027-84851020;027-84391029,430092
,,,,
,,,,
武汉市汉南区银莲湖农场,,汉南区银莲湖农场职工医院,027-84851671,430092
,,,,
,,,,
潜江市,,江汉石油第二医院,0728-6575979、6761640,433121
,,,,
,,,,
湖北省潜江市广华办事处向阳矿区江汉一村振兴路4号,,江汉石油管理局第二职工医院,0728-6575156,433121
,,,,
,,,,
潜江市广华办事处向阳矿区建新路1号,,江汉石油管理局建设工程处职工医院,0728-6587523,433123
,,,,
,,,,
利川市建南镇,,江汉石油管理局天然气处职工医院,0718-7551225,445412
,,,,
,,,,
潜江市周矶办事处汉沙路1号,,江汉石油管理局运输处职工医院,0728-6584542,433119
,,,,
,,,,
湖北省潜江市广华办事处安康路3号,,江汉石油管理局中心医院,0728-6502722,433124
,,,,
,,,,
潜江市五七矿区江汉一村先锋路1号,,江汉石油管理局钻井工程处职工医院,0728-6574816,433121
,,,,
,,,,
湖北省武汉市江夏区纸坊街河南巷14号,,江夏区零三医院,027-84947358,430215
,,,,
,,,,
武汉市武昌武珞路315号,,武昌爱民中医院,027-88056268;88083767,430061
,,,,
,,,,
湖北省武汉市武昌区和平大道820号,,武昌车辆厂职工医院,027-86711995,430062
,,,,
,,,,
湖北省武汉市武昌区新河街新月里5号,,武昌区第三医院,027-88224825,430062
,,,,
太原市五一东街15号,,中山生殖医学医院(民营),0351-4172377;4172477,030001
,,,,
,,,,
山西省古交市马兰矿,,古交矿区医院马兰分院,0351-5174263,030205
,,,,
,,,,
山西省古交市建设路,,古交市妇幼保健院,0351-5141468,030200
,,,,
,,,,
山西省古交市建设路,,古交市人民医院,0351-5141468,030200
,,,,
,,,,
古交市建设路,,古交市人民医院(原古交市妇幼保健院),0351-5141468,030200
,,,,
,,,,
山西省古交市大川东路,,古交市中心医院,0351-5141234,030200
,,,,
,,,,
山西省古交市大川东路,,古交市中医院,0351-5141234,030200
,,,,
,,,,
山西省太原市娄烦县城南大街,,娄烦县妇幼保健院,0351-5322295,030300
,,,,
,,,,
山西省太原市娄烦县,,娄烦县妇幼保健站,0351-5322295,030300
,,,,
,,,,
山西省太原市娄烦县娄烦镇北大街40号,,娄烦县人民医院,0351-5322153,030300
,,,,
,,,,
山西省太原市娄烦县城北大街,,娄烦县中医医院,0351-5322485,030300
,,,,
,,,,
山西省太原市娄烦县北大街3号,,娄烦县中医院,0351-5322485,030300
,,,,
,,,,
山西省太原市清徐县北街,,清徐县第二人民医院,0351-5781023,030400
,,,,
,,,,
山西省太原市清徐县永定街,,清徐县妇幼保健院,0351-5722568,030400
,,,,
,,,,
山西省太原市清徐县湖东大街50号,,清徐县人民医院,0351-5722630;5722197,030400
,,,,
阿城市延川南大街,,阿城市儿童医院,0451-53721946,150300
,,,,
,,,,
阿城市牌路大街20号,,阿城市妇幼保健院,0451-53734704,150300
,,,,
,,,,
阿城市延川南大街,,阿城市骨伤医院,0451-53723676,150300
,,,,
,,,,
阿城市河东街,,阿城市继电器厂职工医院,0451-53722346;53709419,150302
,,,,
,,,,
阿城区牌路大街47号,,阿城市人民医院,0451-53721083;0451-53740069;0451-53741046,150300
,,,,
,,,,
黑龙江省阿城市和平街,,阿城市人民医院分院黑龙江涤纶厂职工医院,0451-53722601;0451-53715429,150316
,,,,
,,,,
阿城市通城街81号,,阿城市中医院,0451-53722706,150300
,,,,
,,,,
宾县宾安,,宾县宾安中心医院,0451-57944148;57944806,150422
,,,,
,,,,
宾县北大直,,宾县妇幼保健院,0451-57983136,150400
,,,,
,,,,
宾县宾州镇文靖路,,宾县口腔病防治所,0451-57982263,150400
,,,,
,,,,
宾州镇西大街,,宾县人民医院,0451-57983643;57982653,150400
,,,,
,,,,
宾县宾州镇东大街,,宾县中医院,0451-57982158;57915321,150400
,,,,
,,,,
方正县,,方正县妇幼保健院,0451-57122495;57114015,150800
,,,,
,,,,
方正县,,方正县精神病院,0451-57122055,150800
,,,,
,,,,
方正县高楞,,方正县林业局高楞职工医院,0451-57122956,150822
,,,,
西安市大庆路42号,,西安步长医院(民营),029-88237033,710082
,,,,
,,,,
西安市长安区韦曲北塬十字,,西安长安北里王骨科医院(民营),029-85648266,710100
,,,,
,,,,
西安市长安区韦曲镇,,西安长安龙泉医院,029-85293144;,710100
,,,,
,,,,
西安市长安区韦曲西街,,西安长安秦通医院,029-85293155,710100
,,,,
,,,,
西安市经济开发区文景路17号,,西安长安医院(民营),029-86578000,710016
,,,,
,,,,
西安市长乐中路12号,,西安长乐医院(民营),029-83240771,710043
,,,,
,,,,
碑林区南销门永宁村58号,,西安大同医院,029-87806604、87899186,710068
,,,,
,,,,
西安市永宁村58号,,西安大同医院(民营),029-87806604,710061
,,,,
,,,,
西安市西七中路21号,,西安德通医院(民营),029-87262103,710004
,,,,
,,,,
陕西省西安市新城区长缨东路99号,,西安电力中心医院,029-81004236;029-81004238;029-82525404,710032
,,,,
,,,,
西影路,,西安东郊骨病医院,029-87221766,710061
,,,,
,,,,
西安市长安区王寺镇北街120号,,西安儿童康复医院(民营),029-85808020,710116
,,,,
,,,,
西安市小寨东路11号,,西安二六二医院,029-85258273,710061
,,,,
,,,,
西安碑林区仁义村40号,,西安肝硬化医院,029-82214025,710054
,,,,
,,,,
西安市莲湖区西郊汉城路南路53号,,西安钢铁集团职工医院,029-84299742;84299722,710077
,,,,
江苏省南京市白下区程阁老巷20号,,白下区中医院,025-4409344,210005
,,,,
,,,,
高淳县淳溪镇通贤路19号,,高淳县妇幼保健所,025-57321356,211300
,,,,
,,,,
高淳县淳溪镇春东村10号,,高淳县精神病防治院,025-57311016,211300
,,,,
,,,,
江苏省高淳县淳溪镇通贤路21号,,高淳县人民医院,025-57311232,211300
,,,,
,,,,
高淳县淳溪镇太安路100号,,高淳县中医院,025-57311637,211300
,,,,
,,,,
溧水县在城镇中大街17号,,溧水县妇幼保健所,025-57212633,211200
,,,,
,,,,
江苏省南京市溧水县永阳镇中大街35号,,溧水县人民医院,025-57212964,211200
,,,,
,,,,
溧水县城镇珍珠南路3号,,溧水县中医院,025-57212516,211200
,,,,
,,,,
江苏省南京市六合区大厂太子山路68号,,六合区大厂医院,025-7791551,210035
,,,,
,,,,
江苏省南京市六合区雄州镇健康巷9号,,六合区人民医院,025-7759827,211500
,,,,
,,,,
江苏省南京市六合区雄州镇通玄街7号,,六合区中医院,025-7120550,211500
,,,,
,,,,
南京市南昌路32号,,南京爱康医院(原跃进汽车集团公司职工医院),025-83407788,210037
,,,,
,,,,
南京鼓楼区福建路洪庙巷19号,,南京安康医院,,210003
,,,,
,,,,
南京市浦口区点将台路56号,,南京安宁医院,025-58851769,210032
,,,,
,,,,
南京市浦口区点将台路56号,,南京安宁医院(民营),025-58498216;58851769,210032
,,,,
四川省成都市万和路86号,,成都爱尔眼科医院(民营),028-86262120,610031
,,,,
,,,,
成都市大慈寺路1号,,成都博爱医院(民营),028-8671299;86722999,610016
,,,,
,,,,
成都市二环路东一段14号,,成都成量集团公司医院,028-83264529,610056
,,,,
,,,,
四川省成都市沙湾路262号,,成都成仁眼科医院(民营),028-87684680,610031
,,,,
,,,,
四川省成都市新鸿路149号,,成都城东新鸿医院(民营),028-84382368,610051
,,,,
,,,,
四川省成都市二环路西二段79号,,成都城西医院(民营),028-87363216,610073
,,,,
,,,,
四川省成都市金堂县淮口镇,,成都第二纺织厂职工医院,028-84911903,610404
,,,,
,,,,
成都市金牛区一环路北三段53号,,成都第五冶职工医院,028-83332591,610081
,,,,
,,,,
成都市青羊区东门街54号,,成都第一骨科医院,028-86635247,610031
,,,,
,,,,
成都市二环路东一段25号,,成都电机厂职工医院,028-83267193,610051
,,,,
,,,,
成都市东城根上街39号,,成都儿童专科医院,028-86635080,610015
,,,,
,,,,
成都市东城根上街39号,,成都儿童专科医院成都市青羊区第四人民医院,028-86635080,610015
,,,,
,,,,
成都市青羊区黄田坝,,成都飞机工业(集团)有限责任公司医院,028-87455832,610031
,,,,
,,,,
四川省成都市茶店子路123号,,成都复兴医院(民营),028-87573290,610036
,,,,
,,,,
四川省成都市大墙东街152号,,成都肛肠专科医院,028-86786525,610015
,,,,
沈阳市杭州西路4号,,新城化工厂职工医院,024-89864740,110121
,,,,
,,,,
法库县大孤家子村,,法库县第二医院,024-87032260,110405
,,,,
,,,,
法库县河南街,,法库县第一医院,024-87126545;87122522,110400
,,,,
,,,,
法库县五台子村,,法库县精神病防治院,024-87176118,110408
,,,,
,,,,
辽宁省沈阳市法库县法库镇团结街,,法库县中医医院,024-87122708,110400
,,,,
,,,,
法库县团结街,,法库县中医院,024-87122708,110400
,,,,
,,,,
沈阳市皇姑区明廉路45号,,皇姑区红十字会肛肠医院,024-86719199,110000
,,,,
,,,,
康平县张强镇,,康平县第二人民医院,024-87242169,110514
,,,,
,,,,
康平县康平镇向阳街,,康平县妇幼保健站,024-87342304,110500
,,,,
,,,,
康平县吴斌街,,康平县精神病防治院,024-87342182,110500
,,,,
,,,,
康平县前进街,,康平县人民医院,024-87342302,110500
,,,,
,,,,
辽宁省沈阳市康平县贺炯街,,康平县人民中医院,024-87342184,110500
,,,,
,,,,
辽宁省沈阳市康平县张强镇,,康平县中西医结合医院,024-87240169,110514
,,,,
,,,,
康平县前进街,,康平县中医院,024-87342184,110500
,,,,
,,,,
辽中县北街,,辽中县传染病院,024-87882195;,110200
,,,,
登封市,,登封市第二人民医院,0371-2865801,452740
,,,,
,,,,
登封市,,登封市第三人民医院,0371-62872850,452740
,,,,
,,,,
河南省登封市少林路69号,,登封市妇幼保健院,0371-2865800,452470
,,,,
,,,,
登封市少林大道69号,,登封市妇幼保健院登封市第二人民医院,0371-62865808,452740
,,,,
,,,,
登封市,,登封市骨科医院,0371-62866120,452470
,,,,
,,,,
登封市少林村,,登封市红十字会少林医院,0371-2849047,452491
,,,,
,,,,
登封市少林大道126号,,登封市人民医院,0371-62890601;0371-62890602,452740
,,,,
,,,,
登封市,,登封市三康医院,0371-2873954,452470
,,,,
,,,,
登封市,,登封市三康医院（民营),0371-62873954,452470
,,,,
,,,,
登封市东关村,,登封市水利医院,0371-62872033,452470
,,,,
,,,,
登封市西关街6号,,登封市胃肠病专科,0371-2872324,452470
,,,,
,,,,
登封市少林大道218号,,登封市胃肠道疾病研究所附属医院,0371-62872324,452470
,,,,
,,,,
登封市中岳大街,,登封市中医院,0371-62862265,452470
,,,,
,,,,
巩义市文化街22号,,巩义市按摩康复医院,0371-64351262,451200
,,,,
,,,,
巩义市孝义路93号,,巩义市第二人民医院,0371-64352033;64397224,451200
,,,,
辛集市建设街东段77号,,和平复明眼科医院(民营),0311-3222447,052360
,,,,
,,,,
河北省高邑县新建大街42号,,高邑县医院,0311-84031096,051330
,,,,
,,,,
河北省高邑县旧城大街99号,,高邑县中医院,0311-84033477,051330
,,,,
,,,,
河北省藁城市廉州路165号,,藁城市妇幼保健院,0311-8149818,052160
,,,,
,,,,
河北省藁城市,,藁城市康复医院,0311-88120753,052160
,,,,
,,,,
河北省藁城市,,藁城市廉州医院,0311-88043295,052160
,,,,
,,,,
河北省藁城市市府路36号,,藁城市人民医院,0311-88141503;88141501,052160
,,,,
,,,,
河北省藁城市,,藁城市糖尿病医院,0311-88087489,052160
,,,,
,,,,
河北省藁城市,,藁城市中西医结合医院,0311-8149818,052160
,,,,
,,,,
河北省藁城市廉州路西头,,藁城市中西医结合医院藁城市中医院,0311-8122818;8122811,052160
,,,,
,,,,
河北省晋州市,,晋州市妇幼保健院,0311-84322624,052260
,,,,
,,,,
河北省晋州市,,晋州市偏瘫医院,0311-84400020,052260
,,,,
,,,,
河北省晋州市朝阳街1号,,晋州市人民医院,0311-4322131,052260
,,,,
,,,,
河北省晋州市朝阳街1号,,晋州市医院,0311-84322131;84314525,052260
,,,,
,,,,
河北省晋州市朝阳街12号,,晋州市中医院,0311-84326505,052260
,,,,
广州市白云同和镇,,白云农工商联合公司职工医院,020-87230543,510515
,,,,
,,,,
白云区广园西路344号,,白云区妇幼保健院,020-86563347,510400
,,,,
,,,,
广州市同和白云山制药总厂内,,白云山企业集团中心医院,020-87713685,510515
,,,,
,,,,
从化市新城西路74-76号,,从化市妇幼保健院,020-87912514,510920
,,,,
,,,,
从化市朝阳街1号,,从化市人民医院,020-87922101;87916524,510900
,,,,
,,,,
从化市镇北路21号,,从化市中医院,020-87930394,510900
,,,,
,,,,
广东省广州市番禺区桥清河东路2号,,番禺区妇幼保健院,020-84629993,511400
,,,,
,,,,
广州市握山新村,,广州白云精神康复医院,020-87715065、37385800,510515
,,,,
,,,,
广州市白云区同和镇握山新村17号,,广州白云精神康复医院(民营),020-87715065;37385800,510515
,,,,
,,,,
广州市白云区太和中路53号,,广州白云区太和医院,020-87429013,510540
,,,,
,,,,
广州市西湾路同德围小区,,广州白云同德医院(民营),020-86492010,510407
,,,,
,,,,
广州市白云区白云大道北586号,,广州白云心理医院,020-87470258,510440
,,,,
,,,,
广州市天河区天河路502号,,广州长安医院(民营),020-87583750(总),510635
,,,,
,,,,
广州市新港西路167号,,广州大肿瘤医院/广州新海医院(原广州海员医院),020-84457238、84102440,510300
,,,,
,,,,
广州市车陂街,,广州氮肥厂职工医院,020-82302950,510661
,,,,
即墨市店机镇,,即墨市第二人民医院,0532-85501099,266200
,,,,
,,,,
即墨市刘家庄一村,,即墨市第六人民医院,0532-83587257,266200
,,,,
,,,,
即墨市灵山镇,,即墨市第七人民医院,0532-84531023,266219
,,,,
,,,,
即墨市共济街30号,,即墨市第三人民医院,0532-88512156,266200
,,,,
,,,,
即墨市蓝村镇,,即墨市第四人民医院,0532-82590337,266200
,,,,
,,,,
即墨市中王村,,即墨市第五人民医院,0532-86503007,266200
,,,,
,,,,
即墨市城南工业园内,,即墨市东方医院(民营),0532-85803000,266200
,,,,
,,,,
即墨市振华街144号,,即墨市妇幼保健站,0532-88510766,266200
,,,,
,,,,
即墨市青威路电大北,,即墨市济康医院(民营),,266200
,,,,
,,,,
即墨市健民街4号,,即墨市人民医院,0532-88513099;0532-88516815;0532-88514314,266200
,,,,
,,,,
山东省即墨市烟青路512号,,即墨市市北医院,0532-7508177,266221
,,,,
,,,,
山东省即墨市烟青路95号,,即墨市市南医院,0532-8562229,266200
,,,,
,,,,
即墨市兰岙路141号,,即墨市中医院,0532-88522737;0532-88555086,266200
,,,,
,,,,
即墨市青石路12号,,即墨同德眼科医院(民营),,266200
,,,,
,,,,
胶南市泊里镇,,胶南市第二人民医院,0532-84181063;84181664,266409
,,,,
